Ano;CVM;Nome;Rel;Tp
2010;4170;VALE S.A.                                         ;;
2010;4359;ELEKEIROZ S.A.                                    ;;
2010;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2010;6505;VIA VAREJO S.A.                                   ;;
2010;11312;OI S.A.                                           ;;
2010;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2010;16659;PORTO SEGURO S.A.                                 ;;
2010;17639;TIM PARTICIPACOES S.A.                            ;;
2010;17671;TELEF;;
2010;19100;LIQ PARTICIPA;;
2010;21610;B3 S.A. - BRASIL;;
2011;4170;VALE S.A.                                         ;;
2011;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2011;6505;VIA VAREJO S.A.                                   ;;
2011;11312;OI S.A.                                           ;;
2011;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2011;16659;PORTO SEGURO S.A.                                 ;;
2011;17639;TIM PARTICIPACOES S.A.                            ;;
2011;17671;TELEF;;
2011;19100;LIQ PARTICIPA;;
2011;21610;B3 S.A. - BRASIL;;
2012;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2012;6505;VIA VAREJO S.A.                                   ;;
2012;11312;OI S.A.                                           ;;
2012;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2012;16659;PORTO SEGURO S.A.                                 ;;
2012;17639;TIM PARTICIPACOES S.A.                            ;;
2012;17671;TELEF;;
2012;19100;LIQ PARTICIPA;;
2012;21610;B3 S.A. - BRASIL;;
2012;23175;IGUA SANEAMENTO S.A.                              ;;
2013;4170;VALE S.A.                                         ;;
2013;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2013;6505;VIA VAREJO S.A.                                   ;;
2013;11312;OI S.A.                                           ;;
2013;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2013;16659;PORTO SEGURO S.A.                                 ;;
2013;17639;TIM PARTICIPACOES S.A.                            ;;
2013;17671;TELEF;;
2013;19100;LIQ PARTICIPA;;
2013;21610;B3 S.A. - BRASIL;;
2013;23175;IGUA SANEAMENTO S.A.                              ;;
2014;4170;VALE S.A.                                         ;;
2014;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2014;6505;VIA VAREJO S.A.                                   ;;
2014;11312;OI S.A.                                           ;;
2014;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2014;16659;PORTO SEGURO S.A.                                 ;;
2014;17639;TIM PARTICIPACOES S.A.                            ;;
2014;17671;TELEF;;
2014;19100;LIQ PARTICIPA;;
2014;21610;B3 S.A. - BRASIL;;
2017;4170;VALE S.A.                                         ;;
2014;23175;IGUA SANEAMENTO S.A.                              ;;
2017;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2017;6505;VIA VAREJO S.A.                                   ;;
2017;11312;OI S.A.                                           ;;
2015;4170;VALE S.A.                                         ;;
2015;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2017;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2015;6505;VIA VAREJO S.A.                                   ;;
2017;16659;PORTO SEGURO S.A.                                 ;;
2017;17639;TIM PARTICIPACOES S.A.                            ;;
2017;17671;TELEF;;
2015;11312;OI S.A.                                           ;;
2017;19100;LIQ PARTICIPA;;
2015;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2015;16659;PORTO SEGURO S.A.                                 ;;
2015;17639;TIM PARTICIPACOES S.A.                            ;;
2015;17671;TELEF;;
2015;19100;LIQ PARTICIPA;;
2017;21610;B3 S.A. - BRASIL;;
2017;23175;IGUA SANEAMENTO S.A.                              ;;
2017;23590;WIZ SOLU;;
2015;21610;B3 S.A. - BRASIL;;
2015;23175;IGUA SANEAMENTO S.A.                              ;;
2018;4170;VALE S.A.                                         ;;
2015;23590;WIZ SOLU;;
2018;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2018;6505;VIA VAREJO S.A.                                   ;;
2016;4170;VALE S.A.                                         ;;
2018;11312;OI S.A.                                           ;;
2016;5312;MUNDIAL S.A. - PRODUTOS DE CONSUMO                ;;
2018;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2016;6505;VIA VAREJO S.A.                                   ;;
2018;16659;PORTO SEGURO S.A.                                 ;;
2018;17639;TIM PARTICIPACOES S.A.                            ;;
2018;17671;TELEF;;
2016;11312;OI S.A.                                           ;;
2018;19100;LIQ PARTICIPA;;
2016;13471;PLASCAR PARTICIPACOES INDUSTRIAIS S.A.            ;;
2016;16659;PORTO SEGURO S.A.                                 ;;
2016;17639;TIM PARTICIPACOES S.A.                            ;;
2016;17671;TELEF;;
2016;19100;LIQ PARTICIPA;;
2018;21610;B3 S.A. - BRASIL;;
2018;23175;IGUA SANEAMENTO S.A.                              ;;
2018;23590;WIZ SOLU;;
2016;21610;B3 S.A. - BRASIL;;
2012;4170;VALE S.A.                                         ;;
2014;23590;WIZ SOLU;;
2016;23175;IGUA SANEAMENTO S.A.                              ;;
2016;23590;WIZ SOLU;;
